"DATE","TIME PERIOD","Liquidity buffer, Significant institutions (SUP.Q.B01.W0._Z.A6310._T.SII._Z.ALL.LE.E.C)"
"2016-09-30","2016Q3","2820.3729"
"2016-12-31","2016Q4","2903.9122"
"2017-03-31","2017Q1","3122.8376"
"2017-06-30","2017Q2","3122.2102"
"2017-09-30","2017Q3","3106.3915"
"2017-12-31","2017Q4","3089.6600"
"2018-03-31","2018Q1","3139.1351"
"2018-06-30","2018Q2","3141.4318"
"2018-09-30","2018Q3","3157.5560"
"2018-12-31","2018Q4","3256.1512"
"2019-03-31","2019Q1","3535.5414"
"2019-06-30","2019Q2","3399.1912"
"2019-09-30","2019Q3","3532.2357"
"2019-12-31","2019Q4","3389.3003"
"2020-03-31","2020Q1","3718.7157"
"2020-06-30","2020Q2","4422.8612"
"2020-09-30","2020Q3","4637.1589"
"2020-12-31","2020Q4","4622.3845"
"2021-03-31","2021Q1","4982.2243"
"2021-06-30","2021Q2","5156.1595"
"2021-09-30","2021Q3","5298.1546"
"2021-12-31","2021Q4","4981.8980"
"2022-03-31","2022Q1","5342.4603"
"2022-06-30","2022Q2","5187.5748"
"2022-09-30","2022Q3","5347.3172"
"2022-12-31","2022Q4","4985.1822"
"2023-03-31","2023Q1","5103.0069"
"2023-06-30","2023Q2","4903.1361"
"2023-09-30","2023Q3","4946.5313"
"2023-12-31","2023Q4","4934.7960"
"2024-03-31","2024Q1","5003.6647"
"2024-06-30","2024Q2","4991.3993"
"2024-09-30","2024Q3","5025.7137"
"2024-12-31","2024Q4","4955.0387"
"2025-03-31","2025Q1","5156.4575"
"2025-06-30","2025Q2","5121.4339"
"2025-09-30","2025Q3","5142.0554"
"2025-12-31","2025Q4","5112.7036"
