"DATE","TIME PERIOD","Available stable funding, Significant institutions (SUP.Q.B01.W0._Z.L6100._T.SII._Z.ALL.LE.E.C)"
"2021-06-30","2021Q2","15988.3295"
"2021-09-30","2021Q3","16066.7671"
"2021-12-31","2021Q4","16175.6684"
"2022-03-31","2022Q1","16327.1296"
"2022-06-30","2022Q2","15825.8582"
"2022-09-30","2022Q3","15864.5345"
"2022-12-31","2022Q4","15359.3816"
"2023-03-31","2023Q1","15325.2123"
"2023-06-30","2023Q2","15397.4690"
"2023-09-30","2023Q3","15353.8683"
"2023-12-31","2023Q4","15452.0283"
"2024-03-31","2024Q1","15721.1538"
"2024-06-30","2024Q2","15872.5738"
"2024-09-30","2024Q3","16019.3988"
"2024-12-31","2024Q4","16190.6018"
"2025-03-31","2025Q1","16377.8587"
"2025-06-30","2025Q2","16462.0438"
"2025-09-30","2025Q3","16549.5494"
"2025-12-31","2025Q4","16774.7974"
